"Horodateur","Acceptez-vous que vos réponses soient utilisées dans le cadre d'un exercice strictement scolaire ? Nous précisons que ce questionnaire est anonyme.","Combien de fois avez-vous contracté le Covid-19 ?","Combien de doses de vaccin au Covid-19 avez vous reçues ? ","Vous connaissez ou avez connu :","Pour ma part :","Quel est votre positionnement par rapport au port obligatoire du masque dans les lieux publics ?","Quels sont les arguments qui vous font pencher plutôt pour le port du masque ?","Quels sont les arguments qui vous font pencher plutôt contre le port du masque ?","Votre entourage est majoritairement :","Quel est votre positionnement par rapport à l'usage actuel des vaccins contre le Covid ?","Quels sont les arguments qui vous font pencher plutôt pour la vaccination au Covid-19 ?","Quels sont les arguments qui vous font pencher plutôt contre la vaccination au Covid-19 ?","Votre entourage est majoritairement :","Quel est votre positionnement par rapport aux décisions gouvernementales prises depuis le début de la pandémie concernant le pass vaccinal ?","Quels sont les arguments qui vous font pencher plutôt pour le pass vaccinal ?","Quels sont les arguments qui vous font pencher plutôt contre le pass vaccinal ?","Votre entourage est majoritairement :","Quel est votre genre ?","Quelle est votre tranche d'âge ?","Quelle est votre catégorie socio-professionnelle ?","Quelle est la population de votre ville de résidence ?","Quel est votre positionnement politique ? (Optionnel)","Vous vous considérez comme :","Votre entourage est majoritairement :"
"2022/03/04 2:55:11 PM UTC+1","Oui","1","2","Un proche ayant contracté une forme grave de Covid-19","Je n'ai eu aucune des deux","Je désapprouve plutôt cette obligation","Je pense que le port du masque protège mes proches","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Je pense que le masque peut causer des problèmes de santé (acné, problèmes respiratoires, etc.)","Neutre par rapport à l'obligation de port du masque dans les lieux publics","Je n'approuve que partiellement leur usage","Aucun de ces arguments;Pour pouvoir vivre normalement sinon on peut rien faire. ","Je pense que les vaccins ont été développés en trop peu de temps pour qu'ils soient fiables;Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle","D'accord avec l'usage actuel des vaccins","Je n'approuve plutôt pas ces décisions","","Je pense que le pass vaccinal est une atteinte à ma liberté personnelle fondamentale;Je pense que le pass vaccinal est une atteinte à la liberté des Français;Je pense que pour cette mesure les français auraient dû être consultés  par référendum ","Neutre par rapport au pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 100 000 habitants","","Neutre","Neutre"
"2022/03/04 2:56:11 PM UTC+1","Oui","1","2","Un proche ayant contracté une forme grave de Covid-19;Le décès d'un proche dû au Covid-19","Je n'ai eu aucune des deux","J'approuve plutôt cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Je pense que le masque peut causer des problèmes de santé (acné, problèmes respiratoires, etc.)","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve plutôt ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Aucun de ces arguments","Neutre par rapport au pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 10 000 habitants","","""Pro-vax""","Neutre"
"2022/03/04 2:56:39 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","Je n'approuve que partiellement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Le masque est devenu simplement décoratif. Les gens le mettent mal ou il est sale ou avec un niveau de protection faible pour certaines catégories de masques.","Mitigé ","Je n'approuve que partiellement leur usage","Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective","Je pense que les vaccins ont été développés en trop peu de temps pour qu'ils soient fiables;Je pense que nous n'avons pas assez de recul par rapport aux vaccins à ARN messager;Je pense que le vaccin n'a pas d'impact positif concret pour ma protection personnelle face au Covid;Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle","Mitigé","Je n'approuve plutôt pas ces décisions","","Je pense que le pass vaccinal est une atteinte à la liberté des Français;Je pense que le gouvernement n'a pas à décider de ce qui est bon ou non pour nous;Je souhaite exprimer mon insatisfaction face au gouvernement actuel qui ne me convient pas;Je ne fais pas confiance aux vaccins contre le Covid-19","Mitigé","Femme","18-25 ans","Etudiants","Moins de 100 000 habitants","0","Neutre","Neutre"
"2022/03/04 2:56:47 PM UTC+1","Oui","1","2","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve plutôt cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je pense que le masque est inoffensif pour la santé","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve plutôt leur usage","Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","Je n'approuve plutôt pas ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Je pense que le pass vaccinal est une atteinte à la liberté des Français","Neutre par rapport au pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 100 000 habitants","","Neutre","Neutre"
"2022/03/04 2:57:08 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je pense que le masque est inoffensif pour la santé","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve plutôt ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","La vaccination obligatoire stricte aurait due être instaurée","D'accord avec le pass vaccinal","Homme","26-35 ans","Cadres supérieurs, Professions intellectuelles supérieures","Moins de 1 000 000 habitants","4","Pro science, rationalité et humanisme","""Pro-vax"""
"2022/03/04 2:58:22 PM UTC+1","Oui","0","3","Un proche ayant contracté une forme grave de Covid-19","Je n'ai eu aucune des deux","J'approuve plutôt cette obligation","Je pense que le masque est utile pour freiner la propagation du virus","Aucun de ces arguments","Neutre par rapport à l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve plutôt ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","","Neutre par rapport au pass vaccinal","Femme","18-25 ans","Etudiants","Moins de 100 000 habitants","","Neutre","Neutre"
"2022/03/04 2:58:29 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve plutôt cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.)","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve plutôt ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Le fait qu'il passe pour un n-ième passe pour pouvoir continuer nos activités ce qui peut paraître incohérent","D'accord avec le pass vaccinal","Femme","18-25 ans","Etudiants","Moins de 1 000 000 habitants","6","""Pro-vax""","""Pro-vax"""
"2022/03/04 2:59:27 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie;Je pense que le masque est inoffensif pour la santé;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...);Je peux faire des grimaces ","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles;Je fais confiance au gouvernement sur les bienfaits de cette mesure","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve plutôt ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Aucun de ces arguments","D'accord avec le pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 100 000 habitants","7","""Pro-vax""","Neutre"
"2022/03/04 2:59:33 PM UTC+1","Oui","1","3","Je ne connais aucun de ces cas","J'ai contracté une forme grave de Covid-19 suite à une infection","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles;Je fais confiance au gouvernement sur les bienfaits de cette mesure","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve totalement ces décisions","Je fais confiance au gouvernement sur la pertinence du pass vaccinal","Aucun de ces arguments","D'accord avec le pass vaccinal","Femme","46-55 ans","Employés","Moins de 100 000 habitants","5","""Pro-vax""","""Pro-vax"""
"2022/03/04 3:00:34 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Je pense que le masque est inutile pour freiner la propagation du virus","Pas d'accord avec l'obligation de port du masque dans les lieux publics","J'approuve plutôt leur usage","Je fais confiance au gouvernement sur les bienfaits de cette mesure","Je pense que nous n'avons pas assez de recul par rapport aux vaccins à ARN messager","Pas d'accord avec l'usage actuel des vaccins","Je n'approuve que partiellement ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Je pense que le gouvernement n'a pas à décider de ce qui est bon ou non pour nous","Pas d'accord avec le pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 100 000 habitants","10","Neutre","""Anti-vax"""
"2022/03/04 3:00:43 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve plutôt cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Je pense que le masque peut causer des problèmes de santé (acné, problèmes respiratoires, etc.)","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve plutôt leur usage","Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective","Pour des raisons personnelles médicales (allergies, faiblesses immunitaires, etc.);Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle","D'accord avec l'usage actuel des vaccins","J'approuve totalement ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Je pense que le pass vaccinal est une atteinte à la liberté des Français","D'accord avec le pass vaccinal","Femme","18-25 ans","Etudiants","Moins de 10 000 habitants","2","""Pro-vax""","""Pro-vax"""
"2022/03/04 3:02:27 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie;Je pense que le masque est inoffensif pour la santé","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.)","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve totalement ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements;Je fais confiance au gouvernement sur la pertinence du pass vaccinal","Aucun de ces arguments","D'accord avec le pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 100 000 habitants","3","""Pro-vax""","""Pro-vax"""
"2022/03/04 3:03:18 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve plutôt cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve plutôt leur usage","Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles;Je fais confiance au gouvernement sur les bienfaits de cette mesure","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve plutôt ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Aucun de ces arguments","D'accord avec le pass vaccinal","Homme","18-25 ans","Etudiants","Moins de 100 000 habitants","5","Neutre","Neutre"
"2022/03/04 3:03:31 PM UTC+1","Oui","0","3","Un proche ayant contracté une forme grave de Covid-19","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie","je ne suis pas contre: c'est une question de santé, voir de vie.","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je fais confiance au gouvernement sur les bienfaits de cette mesure","je ne suis pas contre: question de vie","D'accord avec l'usage actuel des vaccins","J'approuve totalement ces décisions","Je fais confiance au gouvernement sur la pertinence du pass vaccinal","je ne suis pas contre: quand une decision est prise, on applique","D'accord avec le pass vaccinal","Homme","46-55 ans","Cadres supérieurs, Professions intellectuelles supérieures","Moins de 10 000 habitants","","encore vivant","en bonne santé"
"2022/03/04 3:03:49 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je pense que le masque est inoffensif pour la santé;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve plutôt leur usage","Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles","Je redoute cependant qu'on identifie des effets secondaires à long terme","D'accord avec l'usage actuel des vaccins","J'approuve totalement ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement;Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Aucun de ces arguments","D'accord avec le pass vaccinal","Femme","46-55 ans","Cadres supérieurs, Professions intellectuelles supérieures","Moins de 1 000 000 habitants","5","Neutre","Neutre"
"2022/03/04 3:06:24 PM UTC+1","Oui","0","3","Un proche ayant eu une réaction violente au vaccin (problèmes cardiaques, réaction allergique...)","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.)","D'accord avec l'obligation de port du masque dans les lieux publics","Je désapprouve plutôt leur usage","Aucun de ces arguments","Pour des raisons personnelles médicales (allergies, faiblesses immunitaires, etc.);Je pense que les vaccins ont été développés en trop peu de temps pour qu'ils soient fiables;Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle","Pas d'accord avec l'usage actuel des vaccins","Je n'approuve que partiellement ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Je pense que le pass vaccinal est une atteinte à ma liberté personnelle fondamentale","Neutre par rapport au pass vaccinal","Femme","26-35 ans","Etudiants","Moins de 10 000 habitants","","Neutre","""Pro-vax"""
"2022/03/04 3:06:25 PM UTC+1","Oui","0","3","Un proche ayant contracté une forme grave de Covid-19","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie;Je pense que le masque est inoffensif pour la santé;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles;Je fais confiance au gouvernement sur les bienfaits de cette mesure","Pour des raisons personnelles médicales (allergies, faiblesses immunitaires, etc.)","Neutre par rapport à l'usage actuel des vaccins","J'approuve totalement ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements;Je fais confiance au gouvernement sur la pertinence du pass vaccinal","Aucun de ces arguments","Neutre par rapport au pass vaccinal","Homme","26-35 ans","Cadres supérieurs, Professions intellectuelles supérieures","Moins de 100 000 habitants","5","""Pro-vax""","Neutre"
"2022/03/04 3:07:20 PM UTC+1","Oui","1","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le masque est inoffensif pour la santé;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve totalement leur usage","Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles;Je fais confiance au gouvernement sur les bienfaits de cette mesure","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","J'approuve totalement ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements;Je fais confiance au gouvernement sur la pertinence du pass vaccinal","Aucun de ces arguments","D'accord avec le pass vaccinal","Femme","Moins de 18 ans","Etudiants","Moins de 100 000 habitants","","""Pro-vax""","""Pro-vax"""
"2022/03/04 3:08:25 PM UTC+1","Oui","0","0","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","Je désapprouve totalement cette obligation","Aucun de ces arguments","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Je pense que le masque est inutile pour freiner la propagation du virus;Je pense que le port obligatoire du masque est une attente à nos libertés;Je pense que le masque peut causer des problèmes de santé (acné, problèmes respiratoires, etc.);Je pense que le port du masque ne protège pas mes proches","Pas d'accord avec l'obligation de port du masque dans les lieux publics","Je désapprouve plutôt leur usage","Aucun de ces arguments","Je pense que les vaccins ont été développés en trop peu de temps pour qu'ils soient fiables;Je pense que le vaccin a été intentionnellement conçu pour réduire nos libertés;Le vaccin est une substance pathogène qui, inoculée à un individu, lui confère l'immunité contre une maladie ce qui n'est pas le cas de ce ""vaccin""","Pour la vaccination contre le vaccin covid","Je désapprouve totalement ces décisions","","Le pass vaccinal m'empêche personnellement de faire ce que je souhaite au quotidien;Je pense que le pass vaccinal est une atteinte à ma liberté personnelle fondamentale;Je pense que le pass vaccinal est une atteinte à la liberté des Français;Je pense que le gouvernement n'a pas à décider de ce qui est bon ou non pour nous;Je ne fais pas confiance aux vaccins contre le Covid-19","Pas d'accord avec le pass vaccinal","Homme","18-25 ans","Etudiants","Plus de 1 000 000 habitants","7","Laisser les gens libres de se faire vacciner ou non contre le Covid-19","De même "
"2022/03/04 3:08:58 PM UTC+1","Oui","0","3","Un proche ayant contracté une forme grave de Covid-19;Un proche ayant eu une réaction violente au vaccin (problèmes cardiaques, réaction allergique...);Le décès d'un proche dû au Covid-19","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je fais confiance à cette mesure du gouvernement pour son intérêt dans la gestion de la pandémie","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Je pense que le masque peut causer des problèmes de santé (acné, problèmes respiratoires, etc.)","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve plutôt leur usage","Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid","Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle","D'accord avec l'usage actuel des vaccins","Je n'approuve que partiellement ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","","Pas d'accord avec le pass vaccinal","Femme","18-25 ans","Etudiants","Moins de 10 000 habitants","","Neutre","Neutre"
"2022/03/04 3:09:19 PM UTC+1","Oui","1","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve totalement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je pense que le masque est inoffensif pour la santé","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.)","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve plutôt leur usage","Je pense que le vaccin est et restera suffisamment inoffensif pour la santé;Je pense que les vaccins ont été développés en suffisamment de temps pour être fiables;Je pense que notre connaissance en vaccins à ARN messager est suffisante pour les utiliser à grande échelle;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective","Je pense que le vaccin n'a pas d'impact positif concret pour ma protection personnelle face au Covid","D'accord avec l'usage actuel des vaccins","Je n'approuve que partiellement ces décisions","Je pense que le pass sanitaire permet d'éviter des couvre-feux ou confinements","Le pass vaccinal me parait être une mesure vraiment liberticide pour les non vaccinés. Je suis pour par contre le pass sanitaire qui offre plus de liberté aux non vaccinés","Neutre par rapport au pass vaccinal","Femme","18-25 ans","Etudiants","Moins de 100 000 habitants","5","""Pro-vax""","""Pro-vax"""
"2022/03/04 3:10:16 PM UTC+1","Oui","1","2","Un proche ayant contracté une forme grave de Covid-19;Le décès d'un proche dû au Covid-19","Je n'ai eu aucune des deux","Je n'approuve que partiellement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je pense que le port du masque protège mes proches;Je pense que le masque est inoffensif pour la santé;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve plutôt leur usage","Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je pense que le vaccin obligatoire pour tous n'empiète pas ou peu sur mes libertés personnelles","Aucun de ces arguments","D'accord avec l'usage actuel des vaccins","Je n'approuve que partiellement ces décisions","Je tolère l'effet du pass sanitaire sur mes libertés personnelles provisoirement","Aucun de ces arguments","D'accord avec le pass vaccinal","Femme","18-25 ans","Etudiants","Plus de 1 000 000 habitants","5","Neutre","""Pro-vax"""
"2022/03/04 3:10:56 PM UTC+1","Oui","1","1","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","Je n'approuve que partiellement cette obligation","Je pense que le masque est utile pour freiner la propagation du virus","Le masque me gêne physiquement au quotidien (gratte, empêche de bien parler/respirer, etc.);Je pense que le masque peut causer des problèmes de santé (acné, problèmes respiratoires, etc.)","D'accord avec l'obligation de port du masque dans les lieux publics","Je n'approuve que partiellement leur usage","Aucun de ces arguments;le vaccin est utile pour les personnes à risque","Je pense que nous n'avons pas assez de recul par rapport aux vaccins à ARN messager;Je pense que le vaccin obligatoire pour tous est une atteinte à la liberté personnelle","Pas d'accord avec l'usage actuel des vaccins","Je désapprouve totalement ces décisions","","Je pense que le pass vaccinal est une atteinte à ma liberté personnelle fondamentale;Je pense que le pass vaccinal est une atteinte à la liberté des Français","Pas d'accord avec le pass vaccinal","Femme","46-55 ans","Cadres supérieurs, Professions intellectuelles supérieures","Moins de 100 000 habitants","","Neutre","""Anti-vax"""
"2022/03/04 3:11:48 PM UTC+1","Oui","0","3","Je ne connais aucun de ces cas","Je n'ai eu aucune des deux","J'approuve plutôt cette obligation","Je pense que le masque est utile pour freiner la propagation du virus;Je tolère le port du masque au quotidien (ne me gène pas trop sur le visage...)","Aucun de ces arguments","D'accord avec l'obligation de port du masque dans les lieux publics","J'approuve plutôt leur usage","Je pense que le vaccin a un impact positif concret pour ma protection personnelle face au Covid;Je pense le vaccin a un impact positif concret dans le cadre de l'immunité collective;Je fais confiance au gouvernement sur les bienfaits de cette mesure","Je pense que nous n'avons pas assez de recul par rapport aux vaccins à ARN messager","D'accord avec l'usage actuel des vaccins","J'approuve plutôt ces décisions","Je fais confiance au gouvernement sur la pertinence du pass vaccinal","Aucun de ces arguments","D'accord avec le pass vaccinal","Femme","46-55 ans","Professions intermédiaires","Moins de 1 000 000 habitants","5","Neutre","Neutre"
